question,answer,category,difficulty
"전세 계약에서 임대인이 보증금을 돌려주지 않는다면 어떻게 해야 하나요?","전세 계약 종료 시 보증금 반환 거부는 민법상 채무불이행에 해당합니다. 먼저 내용증명 우편으로 보증금 반환을 요구하고, 불응 시 민사소송을 제기할 수 있습니다. 또한 전세권 등기를 했다면 경매를 통해 보증금을 회수할 수 있습니다.",전세사기,중급
"전세 사기를 당했을 때 형사고발이 가능한가요?","네, 가능합니다. 전세 사기는 사기죄(형법 제347조)에 해당할 수 있습니다. 임대인이 처음부터 보증금을 돌려줄 의사나 능력이 없으면서 전세 계약을 체결한 경우, 이는 기망행위로 볼 수 있어 형사고발이 가능합니다.",전세사기,중급
"전세권 등기를 하지 않았는데 전세 사기를 당한 경우 어떻게 해야 하나요?","전세권 등기를 하지 않았더라도 임차권등기명령을 신청하거나, 주택임대차보호법상 대항력과 우선변제권을 주장할 수 있습니다. 입주와 전입신고를 완료했다면 후순위 담보권자보다 우선하여 보증금을 회수할 수 있습니다.",전세사기,고급
"깡통전세란 무엇인가요?","깡통전세는 주택의 시세보다 전세보증금이 높거나 비슷한 수준인 전세를 말합니다. 이 경우 집주인이 대출을 받아 집을 구입하고 전세보증금으로 대출을 상환하는 구조로, 집값이 하락하면 전세보증금을 돌려받기 어려워집니다.",전세사기,초급
"전세 계약서에 특약사항으로 '보증금 반환 지연 시 이자 지급'을 넣을 수 있나요?","네, 가능합니다. 민법 제379조에 따라 임대인이 보증금 반환을 지연할 경우 지연이자를 지급하도록 특약을 정할 수 있습니다. 이자율은 당사자 간 합의로 정하되, 과도하게 높으면 무효가 될 수 있습니다.",전세사기,중급
"전세 사기 피해자를 위한 정부 지원책은 어떤 것들이 있나요?","전세 사기 피해자를 위해 전세피해지원센터 운영, 긴급주거지원(임시거처 제공), 전세보증금 반환보증보험 가입 지원, 법률상담 지원 등이 있습니다. 또한 전세 사기 특별법을 통해 피해구제절차가 마련되어 있습니다.",전세사기,초급
"임대인이 파산한 경우 전세보증금을 어떻게 회수하나요?","임대인 파산 시 전세권 등기를 했다면 별제권을 행사하여 우선 변제받을 수 있습니다. 전세권 등기가 없더라도 주택임대차보호법상 대항력이 있다면 파산재단에 대해 임차권을 주장하고 보증금 반환을 요구할 수 있습니다.",전세사기,고급
"전세 계약 체결 전 확인해야 할 사항들은 무엇인가요?","등기부등본을 통해 소유권과 근저당권 등을 확인하고, 전세보증금이 집값의 70-80%를 넘지 않는지 확인해야 합니다. 또한 임대인의 신분증과 소유권 확인, 건물 및 토지 등기부등본 확인, 전세권 등기 또는 전세보증보험 가입을 고려해야 합니다.",전세사기,중급
"전세권과 임차권의 차이점은 무엇인가요?","전세권은 물권으로서 등기를 통해 대세효를 가지며, 전세권자는 목적물을 직접 지배할 수 있습니다. 반면 임차권은 채권으로서 임대인에 대한 채권적 권리입니다. 전세권은 경매 시 물권적 효력으로 우선변제권을 행사할 수 있습니다.",부동산물권,고급
"가등기의 법적 효력은 무엇인가요?","가등기는 부동산 물권변동에 관한 청구권을 보전하기 위한 예비등기입니다. 순위보전효력과 처분금지효력을 가지며, 가등기 후 본등기를 마치면 가등기 시점으로 소급하여 효력이 생깁니다.",부동산물권,중급
"부동산 이중매매에서 선의의 제3자 보호는 어떻게 이루어지나요?","부동산 이중매매에서는 등기를 먼저 마친 매수인이 소유권을 취득합니다. 다만 제3자가 선의이고 등기에 정당한 이유가 있어야 보호받을 수 있습니다. 민법 제186조에 따라 등기의 추정력과 공신력이 작용합니다.",부동산물권,고급
"근저당권의 피담보채권 범위는 어떻게 결정되나요?","근저당권의 피담보채권은 원본, 이자, 위약금, 손해배상금 등이 포함됩니다. 근저당권 설정 시 정한 극한액까지 담보되며, 채권의 순환성으로 인해 기존 채권이 소멸해도 극한액 범위 내에서 새로운 채권이 담보됩니다.",부동산물권,중급
"부동산 소유권 취득시효의 요건은 무엇인가요?","부동산 소유권 취득시효는 20년간 소유의 의사로 평온하고 공연하게 점유해야 합니다. 선의이고 정당한 사유가 있으면 10년, 등기부상 소유자로 10년간 점유하면 취득시효가 완성됩니다.",부동산물권,중급
"지상권의 존속기간은 어떻게 정해지나요?","지상권의 존속기간은 당사자가 자유롭게 정할 수 있습니다. 기간을 정하지 않으면 영구지상권이 되며, 건물 소유를 목적으로 하는 지상권은 최소 30년 이상으로 추정됩니다.",부동산물권,초급
"전세 사기 예방을 위한 전세보증보험이란 무엇인가요?","전세보증보험은 임대인이 전세보증금을 반환하지 못할 경우 보험회사가 대신 지급하는 보험입니다. 주택도시보증공사(HUG)에서 운영하며, 전세 사기 위험을 줄이고 임차인을 보호하는 제도입니다.",전세사기,초급
"전세권 등기 시 필요한 서류는 무엇인가요?","전세권 등기 시에는 전세계약서, 임대인 인감증명서, 임차인 주민등록표 등본, 건물 등기부등본, 전세권 설정계약서 등이 필요합니다. 공동담보 설정 시에는 토지 등기부등본도 필요합니다.",전세사기,중급
"임대인이 전세보증금을 용도 외 사용한 경우 어떻게 대응해야 하나요?","임대인이 전세보증금을 개인적 용도로 사용한 경우 배임죄나 사기죄로 형사고발할 수 있습니다. 또한 민사상 손해배상청구도 가능하며, 전세권 등기가 있다면 경매를 통해 보증금을 회수할 수 있습니다.",전세사기,중급
"전세 사기 의심 징후는 무엇인가요?","전세 사기 의심 징후로는 시세보다 과도하게 높은 전세가, 급하게 계약을 재촉하는 경우, 계약서 작성을 회피하거나 특약 사항을 거부하는 경우, 중개업소를 통하지 않는 직거래 등이 있습니다.",전세사기,초급
"전세 계약 갱신 시 임대인이 보증금 증액을 요구할 수 있나요?","주택임대차보호법에 따라 임대인은 전세 계약 갱신 시 보증금 증액을 요구할 수 있습니다. 다만 연 5% 이내에서만 증액이 가능하며, 임차인이 거부하면 기존 조건으로 2년간 계약이 갱신됩니다.",전세사기,중급
"집주인이 바뀐 경우 전세 계약은 어떻게 되나요?","집주인이 바뀌어도 전세 계약은 유효하게 승계됩니다. 새로운 소유자는 기존 전세 계약의 권리와 의무를 모두 승계하며, 전세보증금 반환 의무도 함께 승계됩니다.",전세사기,중급
"전세 사기 피해 발생 시 손해배상 범위는 어떻게 되나요?","전세 사기 피해 시 재산적 손해(전세보증금, 이사비용, 대체주택 임차료 등)와 정신적 손해(위자료)를 청구할 수 있습니다. 손해배상 범위는 피해의 직접성과 상당인과관계에 따라 결정됩니다.",전세사기,중급
